id,room_id,user_id,message,timestamp
1,10,219,HI! I'M MR MEESEEKS! LOOK AT ME!,1601542487619
2,810,102,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1601542487624
3,208,730,"Aw, c'mon Rick. That doesn't seem so bad.",1601542487626
4,223,411,"It's a figure of speech, Morty! They're bureaucrats! I don't respect them. Just keep shooting, Morty! You have no idea what prison is like here!",1601542487628
5,764,827,Get off the high road Summer. We all got pink eye because you wouldn't stop texting on the toilet.,1601542487630
6,589,210,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white.",1601542487631
7,340,237,"Uncertainty is inherently unsustainable. Eventually, everything either is or isn't.",1601542487632
8,158,905,"Oh Summer, haha first race war, huh?",1601542487633
9,830,877,I'm the devil. What should I do when I fail? Give myself an ice cream?,1601542487634
10,933,83,"I want that Mulan McNugget sauce, Morty!",1601542487635
11,193,450,"You're our boy dog, don't even trip.",1601542487635
12,269,455,"Aww, gee, you got me there Rick.",1601542487636
13,690,441,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1601542487637
14,569,230,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1601542487639
15,830,151,"Oh Summer, haha first race war, huh?",1601542487640
16,672,830,"The first rule of space travel kids is always check out distress beacons. Nine out of ten times it's a ship full of dead aliens and a bunch of free shit! One out of ten times it's a deadly trap, but... I'm ready to roll those dice!",1601542487641
17,227,636,"Oh yeah, If you think my Rick is Dead, then he is alive. If you think you're safe, then he's coming for you.",1601542487642
18,546,485,"Uncertainty is inherently unsustainable. Eventually, everything either is or isn't.",1601542487644
19,121,145,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1601542487645
20,33,919,"No no, If I wanted to be sober, I wouldn’t have gotten drunk.",1601542487646
21,86,544,Having a family doesn't mean that you stop being an individual.,1601542487647
22,149,39,"I want that Mulan McNugget sauce, Morty!",1601542487648
23,309,128,He's not a hot girl. He can't just bail on his life and set up shop in someone else's.,1601542487649
24,326,427,"Ohh yea, you gotta get schwifty.",1601542487650
25,495,489,"You're like Hitler, except...Hitler cared about Germany, or something.",1601542487651
26,565,153,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1601542487652
27,174,215,"Go home and drink, grandpa.",1601542487653
28,798,963,WUBBA LUBBA DUB DUBS!!!,1601542487654
29,141,724,"Well then get your shit together. Get it all together and put it in a backpack, all your shit, so it's together. ...and if you gotta take it somewhere, take it somewhere ya know? Take it to the shit store and sell it, or put it in a shit museum. I don't care what you do, you just gotta get it together... Get your shit together.",1601542487655
30,962,910,"You're like Hitler, except...Hitler cared about Germany, or something.",1601542487656
31,304,500,"You're our boy dog, don't even trip.",1601542487657
32,348,184,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain.",1601542487658
33,148,679,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1601542487658
34,937,341,"I want that Mulan McNugget sauce, Morty!",1601542487659
35,116,246,Yo! What up my glip glops!,1601542487661
36,483,180,I'm the devil. What should I do when I fail? Give myself an ice cream?,1601542487662
37,810,355,He's not a hot girl. He can't just bail on his life and set up shop in someone else's.,1601542487663
38,160,180,I don't get it and I don't need to.,1601542487664
39,995,27,Weddings are basically funerals with cake.,1601542487665
40,665,775,Don’t even trip dawg.,1601542487666
41,988,100,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1601542487667
42,416,363,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal.",1601542487668
43,887,458,Having a family doesn't mean that you stop being an individual.,1601542487670
44,233,20,"Aw, c'mon Rick. That doesn't seem so bad.",1601542487671
45,37,234,"Little tip, Morty. Never clean DNA vials with your spit.",1601542487671
46,258,409,"This isn't Game of Thrones, Morty.",1601542487672
47,511,328,"What about the reality where Hitler cured cancer, Morty? The answer is: Don't think about it.",1601542487673
48,521,55,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1601542487674
49,213,453,"There is no god, Summer; gotta rip that band-aid off now you'll thank me later.",1601542487675
50,875,786,Having a family doesn't mean that you stop being an individual.,1601542487676
51,497,838,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1601542487677
52,270,375,"Traditionally, science fairs are a father/son thing. Well, scientifically, traditions are an idiot thing.",1601542487678
53,382,996,"Let me out, what you see is not the same person as me. My life's a lie. I'm not who you're looking. Let me out. Set me free. I'm really old. This isn't me. My real body is slowly dieing in a vat. Is anybody listening? Can anyone understand? Stop looking at me like that and actually help me. Help me. Help me I'm gunna die.",1601542487679
54,810,690,Keep Summer safe.,1601542487680
55,976,638,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1601542487681
56,571,291,"Hello Jerry, come to rub my face in urine again?",1601542487682
57,404,314,"Aw, c'mon Rick. That doesn't seem so bad.",1601542487683
58,56,52,"Little tip, Morty. Never clean DNA vials with your spit.",1601542487684
59,563,186,I don't get it and I don't need to.,1601542487684
60,81,99,"You're our boy dog, don't even trip.",1601542487685
61,590,299,"Oh Summer, haha first race war, huh?",1601542487686
62,347,662,"That's the difference between you and me, Morty. I never go back to the carpet store.",1601542487687
63,491,591,"This isn't Game of Thrones, Morty.",1601542487689
64,615,243,"Go home and drink, grandpa.",1601542487690
65,105,66,Keep Summer safe.,1601542487691
66,813,340,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1601542487692
67,613,895,"Little tip, Morty. Never clean DNA vials with your spit.",1601542487692
68,381,848,Yo! What up my glip glops!,1601542487694
69,665,83,Weddings are basically funerals with cake.,1601542487695
70,135,575,"Where are my testicles, Summer?",1601542487695
71,632,11,"Meeseeks are not born into this world fumbling for meaning, Jerry! We are created to serve a single purpose, for which we go to any lengths to fulfill.",1601542487696
72,949,746,I'm the devil. What should I do when I fail? Give myself an ice cream?,1601542487697
73,504,547,"Oh, I'm sorry Morty, are you the scientist or are you the kid who wanted to get laid?",1601542487698
74,501,791,I'm the devil. What should I do when I fail? Give myself an ice cream?,1601542487699
75,755,942,"Oh yeah, If you think my Rick is Dead, then he is alive. If you think you're safe, then he's coming for you.",1601542487700
76,32,682,"Where are my testicles, Summer?",1601542487701
77,538,843,"I want that Mulan McNugget sauce, Morty!",1601542487702
78,82,827,"What is my purpose. You pass butter. Oh My God. Yeah, Welcome to the club pal.",1601542487703
79,116,650,"Existence is pain to a meeseeks Jerry, and we will do anything to alleviate that pain.",1601542487704
80,744,869,"Oh Summer, haha first race war, huh?",1601542487705
81,753,703,This sounds like something The One True Morty might say.,1601542487706
82,128,699,This sounds like something The One True Morty might say.,1601542487707
83,43,133,"It's fine, everything is fine. Theres an infinite number of realities Morty and in a few dozen of those I got lucky and turned everything back to normal.",1601542487708
84,705,6,"Great, now I have to take over an entire planet because of your stupid boobs.",1601542487709
85,960,36,"Snuffles was my slave name, you can call me snowball because my fur is pretty and white.",1601542487710
86,18,492,"Sometimes science is a lot more art, than science. A lot of people don't get that.",1601542487711
87,177,445,I don't get it and I don't need to.,1601542487712
88,612,18,I don't get it and I don't need to.,1601542487713
89,204,560,Weddings are basically funerals with cake.,1601542487714
90,377,822,"Where are my testicles, Summer?",1601542487715
91,457,530,"Aw, c'mon Rick. That doesn't seem so bad.",1601542487716
